"","Referência","Quartos","Banheiros","Suítes","Vagas.de.Garagem","Bairro","Área.Total","Valor.Venda"
"964"," 20924-4",3,1,0,3," Uvaranas",311,265000
"965"," 150465-4",3,1,0,2," Neves",162,265000
"966"," 130588-4",2,2,1,2," Contorno / Sta. Paula",80,265000
"967"," 147376-4",3,2,1,3," Uvaranas",184,265000
"969"," 154886-4",3,2,1,3," Uvaranas",130,265000
"971"," 97654-4",1,1,0,2," Nova Rússia",57,265000
"974"," 107083-4",3,1,0,2," Uvaranas",462,260000
"975"," 106647-4",2,1,0,2," Neves",84,260000
"977"," 107104-4",4,2,0,3," Uvaranas",288,260000
"978"," 148202-4",3,1,0,2," Uvaranas",115,260000
"979"," 127500-4",3,1,0,2," Boa Vista",480,260000
"980"," 134323-4",3,2,1,1," Estrela",68,260000
"983"," 145273-4",3,2,1,2," Estrela",76,260000
"984"," 107271-4",3,1,0,1," Cará-cará",480,260000
"985"," 80851-4",3,1,0,1," Jardim Carvalho",105,260000
"992"," 107511-4",3,1,0,1," Nova Rússia",114,260000
"993"," 134944-4",3,3,1,1," Boa Vista",110,260000
"996"," 107566-4",1,1,0,1," Uvaranas",300,260000
"1000"," 94898-4",3,2,0,1," Oficinas",92,260000
"1003"," 127410-4",3,3,1,1," Jardim Carvalho",93,260000
"1005"," 128484-4",2,2,1,2," Oficinas",105,258000
"1007"," 145276-4",3,2,1,2," Estrela",76,255000
"1008"," 143243-4",3,3,1,3," Cará-cará",140,255000
"1012"," 119885-4",3,1,0,2," Jardim Carvalho",76,250000
"1013"," 151041-4",3,1,0,4," Contorno / Sta. Paula",100,250000
"1015"," 128099-4",3,1,0,2," Estrela",120,250000
"1018"," 146564-4",3,2,1,2," Uvaranas",300,250000
"1019"," 117801-4",3,2,0,1," Uvaranas",120,250000
"1020"," 111453-4",3,2,0,1," Boa Vista",300,250000
"1021"," 150598-4",3,2,1,3," Ronda",75,250000
"1028"," 127878-4",3,3,1,2," Uvaranas",77,250000
"1032"," 143923-4",3,1,0,2," Neves",275,250000
"1033"," 106016-4",3,2,0,1," Chapada",520,250000
"1034"," 107314-4",2,1,0,1," Nova Rússia",448,250000
"1039"," 83315-4",3,2,1,2," Ronda",342,250000
"1040"," 103063-4",3,2,0,2," Chapada",90,250000
"1041"," 127178-4",3,1,0,2," Uvaranas",140,250000
"1044"," 46799-4",3,1,0,4," Nova Rússia",400,250000
"1047"," 130587-4",3,2,1,1," Contorno / Sta. Paula",88,250000
"1049"," 134914-4",3,3,1,1," Uvaranas",165,250000
"1052"," 147151-4",3,1,0,3," Uvaranas",165,250000
"1053"," 147152-4",3,2,1,2," Ronda",75,250000
"1055"," 120047-4",3,2,1,1," Uvaranas",170,250000
"1056"," 144260-4",3,2,0,1," Uvaranas",86,250000
"1057"," 129185-4",3,2,0,1," Uvaranas",80,250000
"1059"," 125265-4",3,1,0,2," Contorno / Sta. Paula",170,250000
"1060"," 144748-4",3,1,0,1," Uvaranas",93,250000
"1063"," 104640-4",3,3,0,3," Jardim Carvalho",442,250000
"1064"," 97352-4",2,1,0,1," Uvaranas",55,250000
"1069"," 106566-4",3,2,1,2," Jardim Carvalho",102,250000
"1070"," 132086-4",3,1,0,2," Nova Rússia",120,250000
"1072"," 148189-4",4,3,2,1," Uvaranas",144,250000
"1073"," 133057-4",2,1,1,1," Orfãs",100,250000
"1077"," 147209-4",3,1,0,1," Centro",164,245000
"1078"," 127408-4",3,3,1,1," Jardim Carvalho",93,245000
"1084"," 151039-4",2,2,0,2," Contorno / Sta. Paula",120,240000
"1085"," 154333-4",3,2,1,1," Uvaranas",95,240000
"1090"," 131274-4",2,1,0,1," Cará-cará",110,240000
"1092"," 135072-4",4,2,0,3," Uvaranas",472,240000
"1093"," 131512-4",3,1,0,2," Ronda",360,240000
"1094"," 106316-4",2,2,0,2," Neves",84,240000
"1095"," 107460-4",3,1,1,1," Oficinas",97,240000
"1096"," 146447-4",3,2,0,3," Uvaranas",120,240000
"1098"," 150882-4",3,1,0,3," Colônia Dona Luiza",80,240000
"1101"," 144297-4",3,2,0,2," Estrela",76,240000
"1107"," 151037-4",2,2,0,2," Contorno / Sta. Paula",200,230000
"1108"," 102707-4",3,1,0,1," Chapada",462,230000
"1110"," 150590-4",3,2,1,1," Jardim Carvalho",96,230000
"1120"," 146137-4",3,2,0,2," Oficinas",82,230000
"1121"," 144626-4",3,2,0,3," Colônia Dona Luiza",110,230000
"1122"," 147796-4",3,1,1,1," Ronda",107,230000
"1123"," 110465-4",3,1,1,3," Uvaranas",91,230000
"1127"," 142551-4",2,1,0,1," Jardim Carvalho",100,230000
"1130"," 145519-4",2,1,0,1," Oficinas",70,230000
"1132"," 129703-4",3,3,1,2," Chapada",93,230000
"1133"," 86120-4",3,1,0,1," Oficinas",200,230000
"1134"," 129164-4",3,1,0,1," Ronda",74,230000
"1135"," 142900-4",2,1,0,3," Contorno / Sta. Paula",213,230000
"1136"," 145984-4",3,1,0,2," Contorno / Sta. Paula",134,230000
"1137"," 146936-4",2,2,1,1," Contorno / Sta. Paula",200,230000
"1141"," 134947-4",3,2,1,1," Uvaranas",100,230000
"1144"," 106851-4",2,2,0,2," Neves",88,230000
"1146"," 126115-4",2,2,1,2," Oficinas",88,230000
"1150"," 146261-4",2,2,0,1," Neves",140,230000
"1151"," 132561-4",2,2,0,1," Uvaranas",130,230000
"1157"," 127437-4",4,1,0,2," Uvaranas",65,230000
"1158"," 134303-4",3,1,0,2," Boa Vista",462,230000
"1161"," 131511-4",2,1,0,1," Estrela",144,225000
"1163"," 133665-4",3,2,0,1," Uvaranas",65,225000
"1164"," 146683-4",4,3,0,4," Boa Vista",264,225000
"1167"," 111175-4",3,2,1,1," Uvaranas",114,225000
"1168"," 145214-4",3,2,0,2," Uvaranas",75,225000
"1170"," 131909-4",3,2,1,4," Jardim Carvalho",124,220000
"1171"," 144104-4",3,1,0,2," Oficinas",48,220000
"1172"," 94528-4",2,1,0,2," Jardim Carvalho",110,220000
"1173"," 78041-4",3,1,0,2," Jardim Carvalho",294,220000
"1178"," 119954-4",3,1,1,1," Uvaranas",231,220000
"1183"," 147129-4",3,2,1,2," Uvaranas",300,220000
"1186"," 134903-4",2,2,0,4," Neves",210,220000
"1187"," 110551-4",1,2,1,1," Uvaranas",686,220000
"1188"," 147148-4",2,1,0,2," Contorno / Sta. Paula",104,220000
"1191"," 143809-4",3,2,0,2," Boa Vista",263,220000
"1192"," 143365-4",2,1,0,1," Chapada",200,220000
"1195"," 133562-4",3,2,1,1," Uvaranas",78,218000
"1196"," 107704-4",3,1,0,1," Uvaranas",63,218000
"1198"," 153589-4",3,1,0,2," Jardim Carvalho",80,215000
"1199"," 143865-4",2,2,0,1," Estrela",62,215000
"1201"," 102821-4",3,1,0,1," Estrela",70,215000
"1206"," 125214-4",2,1,0,1," Jardim Carvalho",123,215000
"1209"," 107380-4",2,2,0,2," Nova Rússia",198,212000
"1212"," 133577-4",3,2,0,1," Olarias",311,210000
"1213"," 27565-4",2,1,0,1," Jardim Carvalho",287,210000
"1219"," 130281-4",3,2,1,2," Chapada",93,210000
"1222"," 134497-4",3,2,1,2," Cará-cará",300,210000
"1223"," 148361-4",2,2,0,1," Neves",74,210000
"1227"," 132377-4",3,1,0,2," Boa Vista",110,207000
"1228"," 132514-4",3,1,0,1," Boa Vista",119,207000
"1233"," 134547-4",3,2,1,2," Uvaranas",100,2e+05
"1236"," 143869-4",3,1,1,3," Cará-cará",85,2e+05
"1239"," 154834-4",3,2,1,2," Uvaranas",102,2e+05
"1241"," 148277-4",3,1,1,2," Uvaranas",525,2e+05
"1245"," 40262-4",3,1,0,1," Uvaranas",60,2e+05
"1246"," 128231-4",2,1,0,1," Uvaranas",64,2e+05
"1248"," 107386-4",2,1,0,1," Colônia Dona Luiza",86,2e+05
"1251"," 22220-4",3,2,1,1," Uvaranas",100,2e+05
"1255"," 133648-4",2,1,0,1," Uvaranas",476,2e+05
"1260"," 146484-4",3,2,1,1," Jardim Carvalho",72,2e+05
"1265"," 142667-4",4,3,0,2," Chapada",360,2e+05
"1266"," 151029-4",2,1,0,2," Contorno / Sta. Paula",60,2e+05
"1267"," 151034-4",2,1,0,1," Contorno / Sta. Paula",83,2e+05
"1269"," 145310-4",3,2,1,2," Oficinas",64,199000
"1270"," 134161-4",3,1,0,2," Estrela",68,199000
"1276"," 147618-4",3,2,0,2," Oficinas",80,198000
"1278"," 151642-4",3,1,1,1," Uvaranas",90,198000
"1281"," 21329-4",3,1,0,2," Neves",110,195000
"1284"," 151282-4",3,1,0,1," Cará-cará",80,195000
"1285"," 133666-4",3,2,0,1," Uvaranas",65,195000
"1292"," 154757-4",3,2,1,3," Cará-cará",65,190000
"1293"," 145868-4",1,1,0,5," Ronda",396,190000
"1298"," 146565-4",3,1,1,1," Uvaranas",100,190000
"1299"," 143657-4",3,2,1,2," Uvaranas",81,190000
"1300"," 154353-4",3,1,1,1," Jardim Carvalho",70,190000
"1302"," 107205-4",3,1,0,1," Neves",660,190000
"1303"," 132033-4",3,2,1,3," Oficinas",65,190000
"1305"," 130212-4",3,2,2,1," Uvaranas",80,190000
"1306"," 134365-4",2,1,0,1," Ronda",70,190000
"1308"," 126828-4",3,2,0,1," Contorno / Sta. Paula",108,190000
"1311"," 145774-4",2,3,1,7," Ronda",100,190000
"1314"," 148145-4",2,1,0,2," Ronda",70,190000
"1317"," 104626-4",3,1,0,2," Uvaranas",80,190000
"1318"," 129364-4",2,1,0,1," Uvaranas",128,190000
"1319"," 125584-4",2,1,0,1," Ronda",70,190000
"1321"," 142894-4",2,2,1,2," Neves",160,190000
"1322"," 145196-4",3,1,0,1," Uvaranas",126,190000
"1325"," 151026-4",3,1,0,1," Uvaranas",78,189000
"1327"," 105571-4",3,2,0,1," Cará-cará",90,185000
"1330"," 126653-4",2,1,0,2," Uvaranas",80,185000
"1331"," 27472-4",2,1,0,1," Olarias",429,185000
"1333"," 149068-4",3,1,0,1," Uvaranas",66,185000
"1335"," 154901-4",2,2,0,1," Uvaranas",60,185000
"1337"," 130250-4",3,1,0,1," Neves",70,185000
"1339"," 150916-4",2,1,0,2," Uvaranas",66,185000
"1341"," 145189-4",2,2,0,1," Uvaranas",66,185000
"1342"," 144557-4",3,3,0,1," Contorno / Sta. Paula",476,185000
"1344"," 127069-4",2,1,0,2," Jardim Carvalho",144,180000
"1346"," 132478-4",2,1,0,1," Uvaranas",65,180000
"1348"," 98455-4",3,2,0,1," Uvaranas",320,180000
"1350"," 146566-4",3,1,0,1," Colônia Dona Luiza",24,180000
"1351"," 155035-4",2,1,0,1," Uvaranas",90,180000
"1353"," 107160-4",2,2,0,2," Neves",63,180000
"1354"," 135056-4",3,2,1,3," Cará-cará",200,180000
"1358"," 127596-4",2,1,0,1," Neves",105,180000
"1363"," 131724-4",3,1,0,1," Cará-cará",100,180000
"1366"," 151271-4",2,1,0,2," Uvaranas",55,180000
"1368"," 27560-4",2,1,0,1," Contorno / Sta. Paula",150,180000
"1369"," 132965-4",2,1,0,1," Uvaranas",85,180000
"1377"," 134902-4",2,1,0,1," Uvaranas",85,180000
"1380"," 144468-4",2,1,0,1," Uvaranas",80,180000
"1381"," 107449-4",3,1,0,1," Olarias",95,180000
"1384"," 135382-4",3,1,0,1," Cará-cará",115,180000
"1395"," 133032-4",4,2,0,2," Jardim Carvalho",144,180000
"1399"," 142895-4",2,1,0,2," Neves",120,180000
"1400"," 107905-4",3,1,0,2," Cará-cará",429,180000
"1401"," 151025-4",2,1,0,2," Nova Rússia",70,180000
"1402"," 127438-4",3,1,0,1," Uvaranas",214,180000
"1404"," 150580-4",4,3,0,4," Neves",150,180000
"1405"," 119881-4",2,1,0,2," Boa Vista",468,180000
"1406"," 134422-4",3,2,1,1," Cará-cará",73,179500
"1409"," 133361-4",3,1,0,1," Cará-cará",69,175000
"1410"," 145055-4",3,3,1,1," Uvaranas",91,175000
"1412"," 145541-4",2,1,1,1," Ronda",100,175000
"1413"," 19623-4",2,2,1,4," Ronda",90,175000
"1418"," 117829-4",3,2,1,2," Cará-cará",153,173000
"1419"," 133494-4",2,2,0,2," Oficinas",68,172000
"1420"," 145415-4",3,2,0,1," Neves",71,170000
"1421"," 143864-4",2,1,0,1," Uvaranas",80,170000
"1424"," 145428-4",3,1,0,1," Estrela",59,170000
"1425"," 132003-4",3,1,0,2," Neves",67,170000
"1427"," 154535-4",2,1,0,2," Jardim Carvalho",57,170000
"1434"," 128160-4",2,2,0,1," Uvaranas",67,170000
"1436"," 131152-4",2,2,1,2," Jardim Carvalho",90,170000
"1441"," 144470-4",2,1,0,1," Uvaranas",80,170000
"1443"," 144462-4",3,1,0,1," Uvaranas",73,170000
"1447"," 107515-4",2,1,0,1," Uvaranas",462,170000
"1448"," 143320-4",3,1,0,2," Contorno / Sta. Paula",465,170000
"1449"," 150729-4",4,2,1,1," Uvaranas",90,170000
"1452"," 154275-4",2,1,0,1," Nova Rússia",117,170000
"1453"," 130704-4",3,1,0,2," Cará-cará",90,170000
"1454"," 120309-4",3,1,0,1," Uvaranas",120,170000
"1455"," 147434-4",2,1,0,1," Jardim Carvalho",57,170000
"1458"," 146766-4",3,2,0,1," Ronda",78,170000
"1462"," 131880-4",3,1,0,1," Cará-cará",55,170000
"1463"," 153586-4",2,1,0,3," Boa Vista",50,170000
"1465"," 127636-4",3,2,0,2," Cará-cará",78,169000
"1467"," 143561-4",2,1,0,2," Cará-cará",62,169000
"1470"," 134454-4",2,2,0,1," Neves",68,169000
"1473"," 131723-4",2,2,1,1," Neves",58,167000
"1476"," 143418-4",3,2,1,2," Cará-cará",80,165000
"1477"," 127608-4",2,1,0,1," Uvaranas",88,165000
"1478"," 143674-4",2,2,0,1," Oficinas",75,165000
"1479"," 131491-4",3,2,0,2," Neves",275,165000
"1483"," 118064-4",2,1,0,1," Oficinas",64,165000
"1484"," 125882-4",3,1,0,1," Uvaranas",69,165000
"1485"," 146419-4",2,1,0,1," Boa Vista",155,165000
"1487"," 131768-4",3,1,0,2," Estrela",78,165000
"1489"," 85696-4",2,1,0,1," Uvaranas",65,165000
"1492"," 128031-4",3,1,0,2," Cará-cará",85,165000
"1493"," 131655-4",3,2,1,2," Cará-cará",65,165000
"1504"," 144805-4",2,1,0,1," Colônia Dona Luiza",120,160000
"1505"," 111877-4",2,1,1,1," Cará-cará",117,160000
"1507"," 128138-4",3,1,0,1," Cará-cará",160,160000
"1508"," 132541-4",2,1,0,3," Nova Rússia",495,160000
"1510"," 128189-4",2,2,1,1," Uvaranas",75,160000
"1511"," 107404-4",2,1,0,1," Colônia Dona Luiza",275,160000
"1515"," 144467-4",2,1,0,1," Uvaranas",80,160000
"1517"," 147632-4",3,1,0,1," Estrela",63,160000
"1521"," 128783-4",2,1,0,2," Uvaranas",61,160000
"1526"," 107585-4",2,1,0,1," Jardim Carvalho",82,160000
"1532"," 126556-4",2,1,0,1," Uvaranas",115,160000
"1535"," 151013-4",2,1,0,1," Uvaranas",106,160000
"1536"," 151014-4",2,1,0,1," Boa Vista",70,160000
"1539"," 127564-4",2,1,0,2," Jardim Carvalho",90,159000
"1540"," 23962-4",3,1,0,2," Jardim Carvalho",89,159000
"1541"," 128482-4",2,1,1,1," Uvaranas",140,159000
"1543"," 94130-4",3,1,0,1," Cará-cará",250,155000
"1545"," 143871-4",3,1,0,2," Cará-cará",73,155000
"1546"," 148982-4",2,1,0,1," Uvaranas",65,155000
"1547"," 148438-4",3,1,0,1," Contorno / Sta. Paula",88,155000
"1550"," 130874-4",2,1,0,1," Chapada",77,155000
"1556"," 127675-4",2,1,0,1," Cará-cará",68,154000
"1559"," 143172-4",2,1,0,1," Colônia Dona Luiza",63,150000
"1560"," 127481-4",3,2,1,2," Cará-cará",78,150000
"1562"," 133071-4",2,1,0,1," Uvaranas",140,150000
"1563"," 131907-4",2,2,0,2," Uvaranas",130,150000
"1566"," 146567-4",3,2,0,1," Neves",100,150000
"1568"," 102778-4",2,1,0,1," Uvaranas",60,150000
"1574"," 95083-4",3,1,0,2," Boa Vista",275,150000
"1575"," 78574-4",2,1,0,1," Cará-cará",486,150000
"1581"," 143678-4",3,1,0,1," Uvaranas",105,150000
"1583"," 130784-4",3,2,1,2," Cará-cará",70,150000
"1585"," 130787-4",3,1,0,1," Contorno / Sta. Paula",70,150000
"1586"," 131482-4",2,1,0,1," Colônia Dona Luiza",429,150000
"1587"," 117852-4",3,1,0,1," Uvaranas",100,150000
"1591"," 145311-4",2,1,0,1," Colônia Dona Luiza",55,150000
"1593"," 150667-4",3,1,0,1," Jardim Carvalho",58,150000
"1601"," 130284-4",2,1,0,2," Oficinas",50,150000
"1602"," 125971-4",2,1,0,1," Chapada",80,150000
"1604"," 103890-4",2,1,0,1," Uvaranas",80,150000
"1605"," 142752-4",3,1,0,2," Cará-cará",62,150000
"1607"," 129094-4",2,1,0,2," Jardim Carvalho",76,150000
"1608"," 143770-4",3,1,0,1," Uvaranas",110,150000
"1612"," 130334-4",3,1,0,1," Contorno / Sta. Paula",60,150000
"1616"," 91207-4",2,1,0,1," Uvaranas",60,150000
"1617"," 146750-4",2,1,0,1," Oficinas",490,150000
"1621"," 102235-4",2,1,0,1," Cará-cará",536,150000
"1624"," 107818-4",2,1,0,1," Uvaranas",55,150000
"1625"," 107836-4",2,1,0,2," Boa Vista",60,150000
"1628"," 127424-4",3,1,0,2," Uvaranas",270,150000
"1630"," 135028-4",3,2,0,1," Boa Vista",80,150000
"1631"," 132826-4",3,1,0,1," Uvaranas",62,150000
"1632"," 126818-4",3,1,0,2," Colônia Dona Luiza",60,150000
"1634"," 143619-4",2,1,0,2," Uvaranas",54,149000
"1636"," 127552-4",2,1,0,1," Colônia Dona Luiza",70,147000
"1639"," 142535-4",2,1,0,1," Contorno / Sta. Paula",151,145000
"1640"," 148201-4",2,1,0,2," Uvaranas",100,145000
"1642"," 111434-4",2,1,0,1," Boa Vista",48,145000
"1645"," 110316-4",3,1,1,2," Uvaranas",77,145000
"1647"," 154800-4",2,1,0,1," Boa Vista",48,145000
"1648"," 143437-4",2,1,0,1," Oficinas",48,145000
"1649"," 127365-4",3,1,0,1," Cará-cará",58,145000
"1654"," 132022-4",2,1,0,1," Cará-cará",70,145000
"1655"," 148300-4",2,1,0,2," Boa Vista",90,145000
"1662"," 145574-4",2,1,0,1," Cará-cará",45,145000
"1663"," 144945-4",2,2,1,2," Cará-cará",120,145000
"1665"," 147433-4",2,1,0,1," Jardim Carvalho",80,145000
"1668"," 145380-4",3,1,0,2," Neves",54,145000
"1669"," 131878-4",2,1,0,1," Cará-cará",46,145000
"1671"," 127455-4",2,2,0,2," Uvaranas",200,145000
"1674"," 130786-4",2,1,0,2," Cará-cará",54,144000
"1675"," 143797-4",2,1,0,1," Oficinas",44,144000
"1676"," 132340-4",2,1,0,1," Oficinas",46,144000
"1677"," 131881-4",2,1,0,1," Cará-cará",46,141900
"1678"," 19631-4",3,2,0,1," Cará-cará",110,140000
"1682"," 111523-4",3,1,0,1," Uvaranas",63,140000
"1683"," 107208-4",2,1,0,2," Uvaranas",136,140000
"1686"," 127358-4",2,1,0,1," Uvaranas",57,140000
"1687"," 146135-4",2,2,1,2," Ronda",62,140000
"1695"," 143470-4",2,1,0,1," Oficinas",48,140000
"1697"," 151277-4",2,1,0,1," Ronda",50,140000
"1698"," 149043-4",3,1,0,1," Jardim Carvalho",70,140000
"1701"," 131527-4",2,1,0,2," Jardim Carvalho",250,140000
"1714"," 148322-4",2,1,0,2," Contorno / Sta. Paula",55,140000
"1715"," 142749-4",2,1,0,2," Cará-cará",62,140000
"1717"," 110722-4",2,1,0,2," Cará-cará",58,140000
"1720"," 143359-4",2,1,0,1," Oficinas",80,140000
"1726"," 153542-4",2,1,0,1," Boa Vista",85,140000
"1729"," 128411-4",2,1,0,1," Jardim Carvalho",56,140000
"1733"," 131233-4",2,1,0,1," Cará-cará",50,139900
"1736"," 145860-4",2,1,0,4," Uvaranas",50,139000
"1740"," 146925-4",2,1,0,1," Uvaranas",60,139000
"1741"," 51842-4",2,1,0,1," Uvaranas",57,139000
"1743"," 151620-4",2,1,0,1," Jardim Carvalho",60,139000
"1744"," 127361-4",2,1,0,2," Neves",45,138000
"1746"," 144848-4",2,1,0,1," Uvaranas",55,138000
"1749"," 143438-4",2,1,0,1," Oficinas",48,137000
"1752"," 131879-4",2,1,0,1," Cará-cará",45,137000
"1753"," 155039-4",2,1,0,2," Colônia Dona Luiza",80,136000
"1754"," 143795-4",2,1,0,2," Uvaranas",58,136000
"1755"," 126557-4",2,1,0,2," Uvaranas",50,136000
"1757"," 111435-4",1,1,0,1," Boa Vista",48,135000
"1758"," 143870-4",2,1,0,3," Cará-cará",50,135000
"1760"," 131474-4",2,1,0,1," Colônia Dona Luiza",51,135000
"1762"," 127363-4",2,1,0,1," Cará-cará",52,135000
"1763"," 129924-4",2,1,0,1," Olarias",45,135000
"1764"," 153623-4",2,1,1,2," Ronda",62,135000
"1767"," 110276-4",3,1,0,2," Cará-cará",55,135000
"1770"," 143471-4",2,1,0,1," Oficinas",48,135000
"1774"," 129714-4",2,1,0,1," Uvaranas",48,135000
"1775"," 147369-4",2,1,0,1," Colônia Dona Luiza",51,135000
"1776"," 154413-4",2,1,0,1," Oficinas",48,135000
"1777"," 132956-4",2,1,0,1," Colônia Dona Luiza",51,135000
"1780"," 134950-4",2,1,0,2," Cará-cará",47,135000
"1785"," 129346-4",2,1,0,1," Oficinas",44,135000
"1786"," 150996-4",2,1,0,1," Colônia Dona Luiza",48,135000
"1787"," 150997-4",1,1,0,1," Chapada",48,135000
"1788"," 151000-4",2,1,0,1," Uvaranas",51,135000
"1791"," 143385-4",2,2,0,1," Oficinas",80,135000
"1794"," 111177-4",2,1,0,1," Boa Vista",48,135000
"1796"," 147601-4",2,1,0,1," Uvaranas",46,133000
"1800"," 147247-4",2,1,0,1," Neves",51,130000
"1801"," 142490-4",2,1,0,2," Cará-cará",50,130000
"1802"," 20914-4",2,1,0,2," Chapada",548,130000
"1803"," 147979-4",2,1,0,1," Jardim Carvalho",70,130000
"1810"," 22328-4",2,2,1,3," Contorno / Sta. Paula",110,130000
"1811"," 127364-4",2,1,0,1," Cará-cará",51,130000
"1820"," 127750-4",2,1,0,1," Uvaranas",65,130000
"1821"," 144858-4",2,1,0,1," Cará-cará",46,130000
"1827"," 146926-4",2,1,0,1," Uvaranas",55,130000
"1828"," 125982-4",2,1,0,1," Colônia Dona Luiza",45,130000
"1831"," 107583-4",2,1,0,2," Cará-cará",113,130000
"1832"," 146475-4",3,1,0,1," Uvaranas",65,130000
"1833"," 126118-4",2,2,0,1," Cará-cará",97,130000
"1834"," 130527-4",2,1,0,1," Uvaranas",55,130000
"1835"," 147218-4",2,1,0,1," Uvaranas",53,130000
"1836"," 154964-4",3,1,0,1," Uvaranas",65,130000
"1839"," 130791-4",2,1,0,1," Uvaranas",53,129900
"1840"," 143620-4",2,1,0,3," Uvaranas",46,129000
"1841"," 154978-4",2,1,0,1," Chapada",48,128000
"1842"," 132387-4",2,1,0,1," Cará-cará",58,128000
"1847"," 117893-4",2,1,0,2," Uvaranas",46,127000
"1848"," 154271-4",2,1,0,1," Neves",45,126900
"1849"," 111524-4",2,1,0,1," Uvaranas",55,126000
"1850"," 150740-4",2,1,0,3," Uvaranas",60,126000
"1855"," 147248-4",2,1,0,2," Uvaranas",53,125000
"1862"," 117845-4",2,1,0,1," Contorno / Sta. Paula",275,125000
"1868"," 147370-4",2,1,0,1," Colônia Dona Luiza",51,125000
"1869"," 125919-4",3,1,0,2," Jardim Carvalho",67,125000
"1879"," 143155-4",2,1,0,1," Chapada",152,125000
"1880"," 111404-4",2,1,0,2," Cará-cará",45,122000
"1885"," 128048-4",2,1,0,1," Ronda",55,120000
"1887"," 148986-4",4,2,0,1," Uvaranas",469,120000
"1896"," 110267-4",1,1,0,1," Jardim Carvalho",275,120000
"1898"," 107307-4",3,1,0,2," Colônia Dona Luiza",300,120000
"1901"," 135116-4",2,1,0,2," Jardim Carvalho",42,120000
"1903"," 130875-4",2,1,0,1," Chapada",53,120000
"1906"," 110599-4",2,1,0,1," Cará-cará",60,120000
"1909"," 134949-4",2,1,0,2," Cará-cará",47,120000
"1911"," 89550-4",2,1,0,1," Uvaranas",50,120000
"1913"," 150992-4",2,1,0,1," Colônia Dona Luiza",90,120000
"1915"," 128029-4",2,1,0,1," Colônia Dona Luiza",50,120000
"1916"," 130051-4",3,1,0,2," Nova Rússia",98,120000
"1917"," 129764-4",2,1,0,1," Uvaranas",43,119990
"1919"," 127597-4",2,1,0,1," Uvaranas",98,118000
"1921"," 134240-4",3,1,0,1," Uvaranas",70,118000
"1930"," 143872-4",2,1,0,2," Cará-cará",50,115000
"1932"," 20940-4",2,1,0,1," Jardim Carvalho",60,115000
"1934"," 130783-4",2,1,0,2," Boa Vista",52,115000
"1937"," 127641-4",2,1,0,1," Cará-cará",51,115000
"1941"," 151207-4",2,1,0,1," Boa Vista",50,115000
"1942"," 145525-4",2,1,0,1," Neves",180,115000
"1945"," 147401-4",2,1,0,1," Uvaranas",55,115000
"1946"," 147177-4",2,1,0,1," Neves",70,115000
"1948"," 150990-4",3,1,0,1," Colônia Dona Luiza",63,115000
"1950"," 143154-4",2,1,0,1," Chapada",104,115000
"1955"," 110133-4",2,1,0,2," Cará-cará",150,110000
"1957"," 131486-4",2,1,0,2," Cará-cará",144,110000
"1959"," 128335-4",2,1,0,1," Uvaranas",52,110000
"1965"," 143436-4",2,1,0,1," Jardim Carvalho",50,105000
"1966"," 82934-4",2,1,0,1," Estrela",47,105000
"1974"," 128657-4",2,1,0,1," Cará-cará",151,1e+05
"1975"," 146747-4",3,1,0,1," Uvaranas",60,1e+05
"1980"," 147570-4",2,1,0,1," Ronda",46,95000
"1982"," 143995-4",2,1,0,1," Jardim Carvalho",41,95000
"1983"," 104454-4",2,1,0,1," Chapada",48,95000
"1991"," 151618-4",2,1,0,1," Uvaranas",54,84793
"1993"," 128183-4",2,1,0,1," Jardim Carvalho",90,80000
"1997"," 131908-4",3,1,0,1," Colônia Dona Luiza",60,70000
"2005"," 151617-4",2,1,0,2," Uvaranas",49,60408
"2007"," 102674-4",1,1,0,1," Uvaranas",29,60000
"2009"," 150981-4",2,1,0,1," Cará-cará",39,57875
"2012"," 131061-4",3,5,3,3," Colônia Dona Luiza",510,4200000
"2025"," 84251-4",6,6,2,5," Jardim Carvalho",1980,3800000
"2026"," 154233-4",4,8,2,4," Estrela",387,3600000
"2028"," 105613-4",5,7,5,4," Estrela",1000,3500000
"2032"," 128544-4",6,6,3,6," Estrela",800,3200000
"2036"," 143098-4",5,3,3,6," Estrela",2000,3200000
"2037"," 132382-4",3,4,3,4," Estrela",536,3e+06
"2038"," 128542-4",4,5,4,5," Estrela",500,3e+06
"2042"," 146444-4",4,6,4,2," Estrela",500,2900000
"2043"," 126586-4",3,4,0,4," Centro",453,2900000
"2044"," 126145-4",4,5,3,6," Jardim Carvalho",850,2850000
"2046"," 78576-4",4,6,2,8," Centro",909,2800000
"2048"," 46801-4",3,1,1,2," Jardim Carvalho",2000,2800000
"2058"," 111788-4",3,3,3,4," Estrela",500,2500000
"2059"," 128786-4",3,4,3,2," Jardim Carvalho",440,2400000
